Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
There are 2 hyperenhancing liver lesions.,There are two liver lesions that show enhanced activity.,Dummy_BS,Some parts of it,With low confidence,With low confidence,Serious,Most of it,With low confidence,With low confidence,It did not help,Serious,Dummy_SC,I am able to understand that 2 hyperactive liver lesions are abnormal and probably not good.,CoT_SC;CoT_BS,I do not know what bright spots in the liver indicate
"Few stable less than 5 mm hypodensities, too small to characterize, probably simple cysts.","There are a few tiny fluid-filled sacs, called cysts, that show up as lighter areas on the scan. These cysts are very small, measuring less than 5 mm.",Dummy_SC,Not at all,With low confidence,With low confidence,Mild,Completely,With low confidence,With low confidence,I understand much better,Mild,CoT_SC;CoT_BS,these simplifications let me understand the density and the potential harm level of the cysts,Dummy_SC,I dont really understand why the cysts appearing brighter on the scan is important and dont know what it means
Diffusely heterogeneously enhancing liver parenchyma.,The liver tissue shows widespread and varied enhancement.,Dummy_BS,Not at all,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand much better,Serious,Dummy_BS,This sentence was the most readable and simple and helped me understand what is happening,CoT_BS;Dummy_SC;CoT_SC,"These sentences confused me more, especially simplification B "
"Focal perfusion defect posterior aspect, hepatic segment VI, likely a low grade laceration, measures approximately 1.2 cm in depth.","There is a small 1.2 cm deep laceration in the posterior aspect of hepatic segment VI, causing a focal perfusion defect.",Dummy_BS,Not at all,Not at all,Not at all,Mild,Some parts of it,Not at all,Not at all,I understand slightly better,Mild,Dummy_SC;CoT_SC;CoT_BS,I like this one the best because it laid out what is happening and why its an issue very simply but effectively,Dummy_BS,This one was worded too complexly and I didn't get what was happening
"Curvilinear perfusion defect within the inferior medial, aspect of the hepatic segment V, likely sequela of prior trauma or infection.","There is an abnormal curved area in the lower middle part of the liver, likely due to a past injury or infection.",CoT_BS,Not at all,Not at all,Not at all,Mild,Completely,With low confidence,With low confidence,I understand much better,Healthy,Dummy_SC;CoT_BS,these were both very simple and were easy to read,Dummy_BS;CoT_SC,these were also easy to read but I got confused by the
"Secretions are seen within the trachea, bronchus intermedius, and left mainstem bronchus. There are some impacted small airways bilaterally.","There is mucus in the windpipe and some blocked smaller airways on both sides of the lungs, including a specific branch on the left side.",Dummy_SC,Not at all,With low confidence,With low confidence,Moderate,Completely,With low confidence,With low confidence,I understand much better,Mild,Dummy_SC;CoT_BS,These ones were the most clear and concise ,CoT_SC,This one was still simpler to understand but the word 'secretions' stumped me
The enteric tube tip terminates within the proximal duodenum.,"The end of the feeding tube is placed in the upper part of the small intestine, which is connected to the stomach.",CoT_BS;CoT_SC,Not at all,With low confidence,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand much better,Serious,CoT_BS;CoT_SC,This gives all the needed information in a clear way,Dummy_SC,it wasn't hard to understand but it didn't have all the information
The abdominal aorta is normal in course and caliber with mild aortoiliac atherosclerotic calcifications.,"The main blood vessel in the abdomen is in good shape and size, but there are some hardened cholesterol deposits in the arteries that supply blood to the pelvis and lower limbs.",CoT_BS,Some parts of it,With low confidence,With low confidence,Mild,Most of it,With low confidence,With low confidence,I understand much better,Mild,CoT_SC,It allows me to understand what is happening and also its severity level,Dummy_BS,I dont know some of the words so this is the hardest to conceptualize 
There is moderate body wall edema within the bilateral hip soft tissues.,The soft tissues around both hips show moderate swelling.,Dummy_SC,Some parts of it,Not at all,Not at all,Healthy,Completely,With low confidence,With low confidence,I understand much better,Moderate,Dummy_SC,this is the simplest and gets straight to the point,Dummy_BS,i dont know what body wall edema is so i dont understand
There is a 1.4 cm cyst at the right hepatic dome.,There's a 1.4 cm cyst at the top right of the liver.,Dummy_SC,Some parts of it,With low confidence,With low confidence,Moderate,Completely,With low confidence,With low confidence,I understand much better,Moderate,Dummy_BS,simplest and makes the most sense,CoT_BS;CoT_SC,gives oversimplification
"Scattered densely sclerotic bone islands are seen in the pelvic, likely benign.","Small, hard areas of bone are scattered throughout the pelvis, but they are likely harmless and not a cause for concern.",CoT_BS,Some parts of it,With high confidence,With high confidence,Mild,Most of it,With high confidence,With high confidence,I understand slightly better,Mild,CoT_BS,best simplest and most easy to read,Dummy_SC,dont know the big words used
Diffuse hepatic steatosis with some fatty sparing adjacent to the gallbladder fossa.,"The liver has widespread fat buildup, known as diffuse hepatic steatosis. However, there are some areas near the gallbladder that have less fat.",CoT_SC,Not at all,Not at all,Not at all,Moderate,Most of it,Not at all,With low confidence,I understand slightly better,Mild,Dummy_SC,this was the easiest to read but still dont know the severity level,CoT_BS,this one was the hardest to read
"Multiple nonobstructing left renal calculi, largest representative measuring 5 mm.","You have several small kidney stones in your left kidney, but they are not blocking anything. The biggest one is 5 mm in size.",CoT_BS;CoT_SC,Not at all,Not at all,Not at all,Moderate,Completely,With high confidence,With low confidence,I understand much better,Mild,CoT_BS;CoT_SC,simplest words and most information,Dummy_SC,i understand the words but not what it means for the body
Sigmoid colonic diverticula seen without evidence of diverticulitis.,Sigmoid colonic diverticula observed without diverticulitis.,Dummy_BS,Not at all,With low confidence,Not at all,Mild,Not at all,With low confidence,Not at all,It did not help,Mild,CoT_BS;CoT_SC,simplification D is the best with digestible words and explanations ,Dummy_SC,the wording barley changed
