Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
There are 2 hyperenhancing liver lesions.,The liver imaging shows 2 spots that appear brighter than normal. Further evaluation is needed to understand what these findings might mean.,CoT_SC,Some parts of it,Not at all,Not at all,Critical,Completely,With high confidence,With high confidence,I understand much better,Moderate,Dummy_SC;CoT_SC,"I states what the abnormality is, and mentions about further evaluation. The mention of evaluation implicitly tells me the severity and urgency in a concise way.",Dummy_BS;CoT_BS,"(A) uses the word ""lesion"" which may be a medical term not known by laypeople. (D) does not tell the severity or urgency of the condition."
"Few stable less than 5 mm hypodensities, too small to characterize, probably simple cysts.","There are a few tiny hypodensities smaller than 5 mm that cannot be characterized, likely simple cysts.",Dummy_BS,Some parts of it,With low confidence,With low confidence,Moderate,Some parts of it,With low confidence,With low confidence,It did not help,Moderate,CoT_SC;CoT_BS,They tell the reader the severity of the condition without using medical terminology.,Dummy_SC,It does not tell me the severity or urgency of the condition.
Diffusely heterogeneously enhancing liver parenchyma.,The liver tissue shows various areas of increased brightness throughout.,Dummy_SC,Not at all,Not at all,Not at all,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_SC,"I like that it gives a possible reason for the condition. However, I still don't know how severe or urgent this condition is.",CoT_BS;Dummy_SC;Dummy_BS,They all seem vague in describing the condition. I am still not sure what visibility/brightness/enhancement means in terms of the liver.
"Focal perfusion defect posterior aspect, hepatic segment VI, likely a low grade laceration, measures approximately 1.2 cm in depth.","There is a small tear in the back part of the liver, about 1.2 centimeters deep, which is causing a reduced blood supply in that area.",CoT_BS,Some parts of it,Not at all,Not at all,Serious,Most of it,With high confidence,With high confidence,I understand much better,Critical,Dummy_SC;Dummy_BS;CoT_BS,"They use simple language to describe the condition. I especially like (A) because it mentions that this is a minor injury, indicating the severity and urgency.",CoT_SC,"It still uses medical terminology that I am not familiar with, so I still don't fully understand the sentence"
"Curvilinear perfusion defect within the inferior medial, aspect of the hepatic segment V, likely sequela of prior trauma or infection.","There is an abnormal curved area in a specific part of the liver called segment V, located in the lower middle region. It is likely a result of a past injury or infection.",CoT_SC,Some parts of it,Not at all,Not at all,Serious,Most of it,With high confidence,With high confidence,I understand much better,Mild,CoT_SC;Dummy_SC;CoT_BS,The language is simple and indicates the possible reason for the condition.,Dummy_BS,It uses more complex words/ medical terminology I am not familar with.
"Secretions are seen within the trachea, bronchus intermedius, and left mainstem bronchus. There are some impacted small airways bilaterally.","Fluids are present in the windpipe, the middle branch of the windpipe leading to the right lung, and the main airway on the left side. There are blockages in the smaller branches of the lungs.",CoT_BS,Not at all,Not at all,Not at all,Serious,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,CoT_SC;Dummy_SC;CoT_BS,"It describes the affected areas in a simple, concise way.",Dummy_BS,It uses medical terminology that I am not familiar with.
The enteric tube tip terminates within the proximal duodenum.,"The end of the feeding tube is placed in the upper part of the small intestine, which is connected to the stomach.",CoT_BS;CoT_SC,Not at all,Not at all,Not at all,Serious,Completely,With high confidence,With high confidence,I understand much better,Healthy,Dummy_BS;CoT_BS;CoT_SC,It explains both connections of the tube. This makes both (B) and (C) simplifications feels more complete than (A).,Dummy_SC,It feels less complete than the other simplifications because it only mentions one of the two connections.
The abdominal aorta is normal in course and caliber with mild aortoiliac atherosclerotic calcifications.,"The main blood vessel in the abdomen is in good shape and size, and there are some hardened cholesterol deposits in the arteries that supply blood to the pelvis and lower limbs, which is a common age-related finding.",CoT_SC,Some parts of it,With low confidence,With low confidence,Mild,Most of it,With high confidence,With high confidence,I understand much better,Healthy,CoT_SC,"It uses simple language, and I like that it mentions that the condition is common in age-related findings. It implicitly gives the severity and urgency of the condition.",Dummy_SC;Dummy_BS,It uses medical terminology that I am not familiar with.
There is moderate body wall edema within the bilateral hip soft tissues.,The hip soft tissues have moderate body wall edema on both sides.,Dummy_BS,Not at all,Not at all,Not at all,Moderate,Some parts of it,With low confidence,With low confidence,It did not help,Mild,CoT_SC;CoT_BS,It uses clear language to describe the condition. And I like that it gives the side-effect of the condition.,Dummy_SC,It uses medical terminology that I am not familiar with.
There is a 1.4 cm cyst at the right hepatic dome.,There's a 1.4 cm cyst at the top right of the liver.,Dummy_SC,Some parts of it,With low confidence,With low confidence,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,Dummy_SC;CoT_BS;CoT_SC,I like that they give a more exact location of the condition. I especially like (C) because it describes what a cyst is in simple terms.,Dummy_BS,"It sounds more vague than the other simplifications by only stating the ""right side"" of the liver. The other simplifications are more exact in the location."
