Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
There are 2 hyperenhancing liver lesions.,The liver imaging shows 2 spots that appear brighter than normal. Further evaluation is needed to understand what these findings might mean.,CoT_SC,Some parts of it,With low confidence,With low confidence,Serious,Completely,With high confidence,With high confidence,I understand much better,Mild,CoT_SC,It gives more description of what hyperenhancing might mean.,Dummy_BS,"It uses the same language as the original and does not define ""hyperenhancing."""
"Few stable less than 5 mm hypodensities, too small to characterize, probably simple cysts.","There are a few tiny hypodensities smaller than 5 mm that cannot be characterized, likely simple cysts.",Dummy_BS,Most of it,With high confidence,With high confidence,Mild,Completely,With high confidence,With high confidence,It did not help,Mild,CoT_BS,"I was between this and Simplification B, but Simplification B diminishes the potential severity of the cysts.",Dummy_BS,"Uses similar language to the original ""hypodensities."""
Diffusely heterogeneously enhancing liver parenchyma.,"The liver tissue appears unevenly distributed and shows variations in its appearance, possibly due to the use of a contrast dye during the imaging procedure.",CoT_SC,Not at all,Not at all,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_SC,Gives a clearer explanation of the critical nature of the issue.,Dummy_BS,I'm not sure what it means.
"Focal perfusion defect posterior aspect, hepatic segment VI, likely a low grade laceration, measures approximately 1.2 cm in depth.","There is a small 1.2 cm deep tear in the back of a specific part of the liver, causing an issue with blood flow in that area.",Dummy_SC,Most of it,With low confidence,With low confidence,Moderate,Completely,With high confidence,With high confidence,I understand much better,Serious,Dummy_BS,This one provides the nature of the injury regarding critical nature.,CoT_BS,This did not simplify the challenging words.
"Curvilinear perfusion defect within the inferior medial, aspect of the hepatic segment V, likely sequela of prior trauma or infection.","There is a curvilinear perfusion defect in the lower middle part of hepatic segment V, which is likely a result of past trauma or infection.",Dummy_BS,Not at all,Not at all,Not at all,Critical,Some parts of it,With low confidence,With low confidence,I understand slightly better,Healthy,CoT_BS,Provided clearest definition.,Dummy_BS,Did not simplify.
"Secretions are seen within the trachea, bronchus intermedius, and left mainstem bronchus. There are some impacted small airways bilaterally.","There are fluid build-ups in the tubes that carry air to and from the lungs, specifically in the windpipe, a branch leading to the right lung, and the main airway on the left side. Additionally, there are some blockages in the smaller air passages in both lungs.",CoT_SC,Some parts of it,With low confidence,With low confidence,Serious,Most of it,With high confidence,With high confidence,I understand much better,Serious,CoT_BS,Not as wordy as B but gave the information.,CoT_SC,Did not define difficult words.
The enteric tube tip terminates within the proximal duodenum.,"The end of the feeding tube is placed in the upper part of the small intestine, which is connected to the stomach.",CoT_BS;CoT_SC,Not at all,Not at all,Not at all,Moderate,Completely,With high confidence,With high confidence,I understand much better,Mild,CoT_BS;CoT_SC,C gives the type of tube that it is discussing.,Dummy_BS,Does not define the complete answer.
The abdominal aorta is normal in course and caliber with mild aortoiliac atherosclerotic calcifications.,"The abdominal aorta is normal in size and path, with slight hardening of the arteries in the lower abdomen and pelvis.",Dummy_SC,Most of it,With high confidence,With high confidence,Mild,Most of it,With high confidence,With high confidence,I understand slightly better,Mild,CoT_SC,Provides more explanation of the sentence.,Dummy_BS,Did not define the issues and added more challenging words.
There is moderate body wall edema within the bilateral hip soft tissues.,"The tissues around both sides of the hips have some swelling, which is causing moderate fluid accumulation.",CoT_BS,Not at all,Not at all,Not at all,Serious,Most of it,With high confidence,With high confidence,I understand slightly better,Moderate,Dummy_BS,I like buildup more than accumulation,CoT_SC,Did not simplify the sentence.
There is a 1.4 cm cyst at the right hepatic dome.,"There is a small fluid-filled sac, measuring 1.4 centimeters, in the upper right portion of the liver.",CoT_BS;CoT_SC,Most of it,With low confidence,With low confidence,Moderate,Completely,With high confidence,With high confidence,I understand much better,Moderate,CoT_BS;CoT_SC,Defines all of the words.,Dummy_BS,Least specific of A and B.
