Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
There are 2 hyperenhancing liver lesions.,There are two liver lesions that show enhanced activity.,Dummy_BS,Some parts of it,Not at all,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,Dummy_SC;CoT_SC;CoT_BS,Simplication B is short and simple.,Dummy_BS,It contains technical terms.
"Few stable less than 5 mm hypodensities, too small to characterize, probably simple cysts.","The radiologist found a few tiny spots, smaller than 5 mm, that appear different from the surrounding tissues on the scan. These spots are probably small, harmless sacs filled with fluid.",CoT_SC,Some parts of it,With low confidence,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand much better,Mild,CoT_SC;CoT_BS,it explains the severity of the cyst and explained the cyst word in layman term.,Dummy_BS,It's not obvious that this size of cyst is harmful or not.
Diffusely heterogeneously enhancing liver parenchyma.,The liver tissue shows various areas of increased brightness throughout.,Dummy_SC,Not at all,Not at all,Not at all,Moderate,Some parts of it,Not at all,Not at all,I understand slightly better,Moderate,CoT_SC,It gives a clue that the danger may be because of contrast dye. ,CoT_BS,No sign of severity.
"Focal perfusion defect posterior aspect, hepatic segment VI, likely a low grade laceration, measures approximately 1.2 cm in depth.","There is a small 1.2 cm deep tear in the back of a specific part of the liver, causing an issue with blood flow in that area.",Dummy_SC,Not at all,Not at all,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand much better,Moderate,CoT_SC,"provides information about severity ""minor injury""",Dummy_BS,Complicated and no sign of severity
"Curvilinear perfusion defect within the inferior medial, aspect of the hepatic segment V, likely sequela of prior trauma or infection.","There is an abnormal curved area in the lower middle part of the liver, likely due to a past injury or infection.",CoT_BS,Not at all,Not at all,Not at all,Healthy,Completely,With low confidence,With low confidence,I understand much better,Mild,CoT_BS,very understandable,Dummy_BS,complex
"Secretions are seen within the trachea, bronchus intermedius, and left mainstem bronchus. There are some impacted small airways bilaterally.","Secretions are present in the trachea, bronchus intermedius, and left mainstem bronchus, along with some blocked small airways on both sides.",Dummy_BS,Not at all,Not at all,Not at all,Healthy,Not at all,Not at all,Not at all,It did not help,Healthy,CoT_BS,Explaining there are some fluids at different places in lung. ,Dummy_BS,technical jargon
The enteric tube tip terminates within the proximal duodenum.,"The end of the tube is placed in the upper part of the small intestine, which is connected to the stomach.",Dummy_SC,Not at all,Not at all,Not at all,Healthy,Some parts of it,With low confidence,With low confidence,I understand slightly better,Healthy,Dummy_BS,contains all necessary information and is shorter.,Dummy_SC,complex
The abdominal aorta is normal in course and caliber with mild aortoiliac atherosclerotic calcifications.,"The abdominal aorta is normal in size and path, with slight hardening of the arteries in the lower abdomen and pelvis.",Dummy_SC,Not at all,Not at all,Not at all,Healthy,Some parts of it,Not at all,Not at all,I understand slightly better,Healthy,CoT_SC,mentions there is common age finding.,Dummy_BS,
There is moderate body wall edema within the bilateral hip soft tissues.,"There is moderate swelling in the tissues surrounding both hips, which is causing fluid buildup.",CoT_SC,Not at all,Not at all,Not at all,Healthy,Some parts of it,Not at all,Not at all,I understand slightly better,Mild,Dummy_SC;CoT_BS,,Dummy_BS,edema??
There is a 1.4 cm cyst at the right hepatic dome.,There's a 1.4 cm cyst on the right side of the liver.,Dummy_BS,Some parts of it,With low confidence,Not at all,Moderate,Completely,With low confidence,Not at all,I understand much better,Moderate,Dummy_SC,accurate and short,CoT_BS;CoT_SC,
