Radiology Sentence,Simplification in Stage2,Version,Stage1: You understand the meaning of the sentence.,Stage1: Can you guess the level of severity of the medical condition described in the sentence?,Stage1: Can you guess the medical urgency of the condition described in the sentence?,Stage1: Make your best guess about the severity of the described medical condition.,Stage2: You understand the meaning of the sentence.,Stage2: Can you guess the level of severity of the medical condition described in the sentence?,Stage2: Can you guess the medical urgency of the condition described in the sentence?,Stage2: Has the simplified sentence improved your understanding of the original sentence?,Stage2: Make your best guess about the severity of the described medical condition.,Stage3: Which simplifications do you like the most?,Stage3: Please provide your justification.,Stage3: Which simplifications do you like the least?,Stage3: Please provide your justification.
There are 2 hyperenhancing liver lesions.,There are two abnormal areas in the liver that need further evaluation.,Dummy_SC,Most of it,With high confidence,With high confidence,Serious,Completely,With high confidence,With high confidence,I understand much better,Moderate,CoT_SC,Simplification C provides information about what abnormal thing has happened and then provides next steps before any conclusions about the severity of the condition are made.,CoT_BS,Simplification D mentions bright spots but does not further explain what that means and would seem to cause a patient unnecessary worry due to confusion about what the bright spots are.
"Few stable less than 5 mm hypodensities, too small to characterize, probably simple cysts.","There are a few tiny spots that appear less dense than the surrounding tissues. They are too small to determine their nature, but they are likely harmless fluid-filled sacs.",CoT_BS,Most of it,With high confidence,With high confidence,Mild,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_SC,Provides clear understanding about what the scan is showing and the most likely diagnosis for the patient to understand what was found.,Dummy_SC,Clearly states that the small spots are cysts when it cannot be completely confirmed. Could potentially be a more serious issue if left unmonitored which may happen if patient is told they are completely harmless.
Diffusely heterogeneously enhancing liver parenchyma.,The liver tissue shows uneven distribution of increased visibility/activity throughout.,CoT_BS,Some parts of it,Not at all,Not at all,Moderate,Most of it,With low confidence,With low confidence,I understand slightly better,Moderate,Dummy_SC,Provides the problem that is occurring and a potential reason for the event.,Dummy_BS,Unsure how it relates to what is happening or what the severity of the condition is.
"Focal perfusion defect posterior aspect, hepatic segment VI, likely a low grade laceration, measures approximately 1.2 cm in depth.","There is a small tear, about 1.2 centimeters deep, in a specific region at the back of the liver. This tear is causing reduced blood supply to that area, indicating a minor injury.",CoT_SC,Most of it,With low confidence,With low confidence,Moderate,Completely,With high confidence,With high confidence,I understand much better,Moderate,CoT_SC,Clearly says what is happening and provides level of severity for the patient with easy to understand language. ,Dummy_BS,Uses many terms that someone without any medical or anatomical knowledge would not understand.
"Curvilinear perfusion defect within the inferior medial, aspect of the hepatic segment V, likely sequela of prior trauma or infection.","There is a problem with blood flow in a specific area of the liver, which might be due to a past injury or infection.",Dummy_SC,Some parts of it,With low confidence,With low confidence,Mild,Completely,With low confidence,With low confidence,I understand much better,Mild,Dummy_SC,"Clearly mentions that problem is related to blood flow which would be the root problem, while the other mention a curved area which is not clear how that causes issues.",Dummy_BS,Uses too much medical language a patient may not understand.
"Secretions are seen within the trachea, bronchus intermedius, and left mainstem bronchus. There are some impacted small airways bilaterally.","There is mucus in the windpipe and some blocked smaller airways on both sides of the lungs, including a specific branch on the left side.",Dummy_SC,Some parts of it,With low confidence,With low confidence,Moderate,Completely,With high confidence,With high confidence,I understand much better,Moderate,Dummy_BS,Provides a lot of information so the patient knows exactly what is going on with simple terms.,CoT_SC,Patients may not know terminology for the different anatomical structures.
The enteric tube tip terminates within the proximal duodenum.,"The end of the tube is placed in the upper part of the small intestine, which is connected to the stomach.",Dummy_SC,Some parts of it,Not at all,Not at all,Mild,Most of it,With low confidence,With low confidence,I understand slightly better,Mild,CoT_BS;CoT_SC,Clearly explains what the use of the tube is for and where it is located.,Dummy_SC,Too simple.
The abdominal aorta is normal in course and caliber with mild aortoiliac atherosclerotic calcifications.,"The main blood vessel in the abdomen is in good shape and size, and there are some hardened cholesterol deposits in the arteries that supply blood to the pelvis and lower limbs, which is a common age-related finding.",CoT_SC,Some parts of it,With low confidence,With low confidence,Moderate,Completely,With high confidence,With high confidence,I understand much better,Mild,CoT_SC,Clearly identifies the problem and also explains that this is a common and well studied condition.,Dummy_BS,Patients may not know where the regions mentioned were located.
There is moderate body wall edema within the bilateral hip soft tissues.,The hip soft tissues have moderate body wall edema on both sides.,Dummy_BS,Most of it,With low confidence,With low confidence,Moderate,Most of it,With low confidence,With low confidence,It did not help,Moderate,Dummy_BS,Simple and to the point without extra words and still gets the points across.,CoT_SC,Cannot understand what is happening.
There is a 1.4 cm cyst at the right hepatic dome.,"There is a small fluid-filled sac, measuring 1.4 centimeters, in the upper right portion of the liver.",CoT_BS;CoT_SC,Completely,With high confidence,With high confidence,Healthy,Completely,With high confidence,With high confidence,I understand much better,Healthy,CoT_BS;CoT_SC,Explains what a cyst is and where it is located.,Dummy_BS,Not specific enough about where the cyst is located.
"Scattered densely sclerotic bone islands are seen in the pelvic, likely benign.","Scattered dense, likely benign bone islands are observed in the pelvic region.",Dummy_SC,Some parts of it,With high confidence,With high confidence,Healthy,Most of it,With high confidence,With high confidence,I understand slightly better,Healthy,CoT_BS;CoT_SC,Clearly explain the condition and whether or not concern is necessary.,Dummy_BS,Does not clearly explain the condition in simple terms.
Diffuse hepatic steatosis with some fatty sparing adjacent to the gallbladder fossa.,"The liver has fat buildup throughout it, but there are some areas near the gallbladder where less fat is present.",CoT_BS,Some parts of it,Not at all,Not at all,Mild,Completely,With low confidence,With low confidence,I understand much better,Mild,CoT_SC,Explains the conditions clearly and gives name in case patient hears it in another context and can understand.,Dummy_SC,"Too simple, paints a picture of what is happening that may not be the most accurate."
